,X_Nur,Y_Nur,S-reflector time-depth,S-reflector amplitude,S-reflector frequency,Gouge Thickness,Basement Thickness,Basement Proportion,S Distance from seafloor,Water Thickness,Water Proportion,Sediment Thickness,Sediment Proportion,Below Velocity - Mantle (m/s),Above Velocity - Basement (m/s)
count,211400.0,211400.0,211400.0,211400.0,211400.0,211400.0,211400.0,211400.0,211400.0,211400.0,211400.0,211400.0,211400.0,0.0,0.0
mean,698745.6518164622,4663579.538372752,-9071.802037606432,1747.1431265846736,17.790463576158942,26.475429328287614,505.4357485335856,0.05658683925570128,2190.8100006622512,6880.9920369441825,0.7608141124281081,1658.8988228003784,0.17967591293401872,,
std,7594.971445357613,5760.050140871095,563.6422772977086,1719.9774705489178,5.129756132418639,10.000909741548936,305.34600170389325,0.036054497582828374,486.4642595344679,126.96159637747087,0.03856414408059335,634.5583780725635,0.06133119651059196,,
min,684863.71,4652876.83,-10281.88,-5842.89,-7.56,0.03,0.0,0.0,1139.53,6328.86,0.6778539814613919,-166.3699999999999,-0.02063061197411283,,
25%,692213.71,4658676.83,-9550.0875,584.17,15.07,20.42,270.2275,0.029357733133895596,1811.78,6849.190000000001,0.727890177627626,1244.86,0.14237724338137736,,
50%,698763.71,4663626.83,-8983.85,1227.34,17.71,24.13,505.94,0.05449696207573497,2104.935,6936.26,0.7656729333037751,1649.1,0.18559991398304493,,
75%,705313.71,4668576.83,-8617.16,2782.5125,20.27,30.18,702.45,0.0791241464381693,2583.245,6969.77,0.790359480195617,2193.4625,0.22920690889170703,,
max,711863.71,4674026.83,-7720.59,14481.87,51.01,90.0,1460.69,0.1839491225163453,3311.39,7065.589999999999,0.855821945106236,2893.88,0.2922119361509629,,
