S-reflector time-depth,S-reflector amplitude,S-reflector frequency,Gouge Thickness,Basement Thickness,Basement Proportion,S Distance from seafloor,Water Thickness,Water Proportion,Sediment Thickness,Sediment Proportion,Below Velocity - Mantle (m/s),Above Velocity - Basement (m/s)
-9731,1210.89,16.34,29.31,448.09,0.046047683,2727.24,7003.76,0.719736923,2249.84,0.231203371,6949.715291,6353.384009
-9737.41,643.63,13.9,19.42,448.61,0.046070772,2734.54,7002.87,0.71917173,2266.51,0.232763127,6949.676204,6341.508718
-9744.87,618.01,16.92,31.99,463.21,0.047533728,2747.56,6997.31,0.718050626,2252.36,0.231132894,6960.020404,6359.839575
-9754.94,-51.79,8.41,18.68,457.29,0.046877787,2754.17,7000.77,0.717664076,2278.2,0.23354321,6985.41222,6397.701596
-9757.6,-50.65,12.68,15.38,468.48,0.048011806,2761.62,6995.98,0.716977535,2277.76,0.233434451,6981.399943,6388.673336
-9768.12,605.98,15.41,24.04,466.4,0.047747161,2770.95,6997.17,0.716327195,2280.51,0.233464577,6989.396651,6390.783065
-9774.64,635.16,18.59,19.72,472.52,0.048341422,2775.46,6999.18,0.716055016,2283.22,0.233586096,6990.805596,6393.435472
-9776.13,0.17,9.38,25.52,472.73,0.048355535,2783.05,6993.08,0.715321912,2284.8,0.233712113,7004.119371,6403.918191
-9779.71,-44.6,15.24,19.9,477.94,0.04887057,2790.54,6989.17,0.714660251,2292.7,0.234434354,7016.297483,6431.916853
-9792.35,593.42,17.39,24.88,481.49,0.049170015,2792.69,6999.66,0.714809009,2286.32,0.233480217,7029.46831,6440.707955
-9796.49,592.37,17.06,18.07,486.9,0.049701475,2798.27,6998.22,0.714359939,2293.3,0.234094048,7031.566035,6446.848013
-9802.02,1242.94,18.91,22.27,491.14,0.050105999,2807.74,6994.28,0.713554961,2294.33,0.23406706,7049.238737,6467.12632
-9800.49,617.99,17.54,19.24,490.43,0.050041375,2812.48,6988.01,0.713026594,2302.81,0.234968864,7052.541109,6481.663348
-9815,769.52,16.2,24.24,500.45,0.050988283,2817.9,6997.1,0.712898625,2293.21,0.233643403,7069.873608,6501.554222
-9813.13,14.79,16.18,20.19,501.58,0.051113151,2818.61,6994.52,0.712771562,2296.84,0.234057839,7070.852246,6505.716343
-9830,885.09,16.29,29.65,509.02,0.051782299,2831.98,6998.02,0.711904374,2293.31,0.23329705,7088.582058,6516.760202
-9832.23,597.56,15.65,24.32,505.7,0.05143289,2832.27,6999.96,0.711940221,2302.25,0.234153391,7095.958977,6541.688225
