,S-reflector time-depth,S-reflector amplitude,S-reflector frequency,Gouge Thickness,Basement Thickness,Basement Proportion,S Distance from seafloor,Water Thickness,Water Proportion,Sediment Thickness,Sediment Proportion,Below Velocity - Mantle (m/s),Above Velocity - Basement (m/s)
count,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0,1071.0
mean,-9111.46172735761,2175.1844911297853,17.425957049486463,26.815798319327733,412.0340989729225,0.044929871264985995,2180.266993464052,6931.194733893558,0.7624442361381886,1741.417096171802,0.18968118385434174,7235.048581784313,6330.438136134454
std,468.67349760100103,1888.8304055085384,4.639867142194801,7.162199806462963,252.20760227579595,0.027028245825894057,423.31411266132153,52.38605226994224,0.03377504004330878,429.89978298650055,0.03877445129861062,615.7378422145536,461.74104794918406
min,-9916.13,-1091.47,1.68,13.5,0.0,0.0,1514.66,6806.77,0.7043572359999999,1049.93,0.123672639,5771.366112,5399.3084770000005
25%,-9498.77,605.275,14.94,22.18,251.655,0.027368497000000002,1866.735,6891.57,0.734342442,1410.12,0.1560586985,6858.2374895,6020.250684000001
50%,-8902.51,1783.53,17.47,24.89,374.53,0.040268255,1982.25,6947.08,0.777338077,1672.56,0.188421345,7272.055734999999,6274.140420000001
75%,-8805.035,3542.7799999999997,19.814999999999998,29.68,540.44,0.060943715999999995,2523.08,6972.11,0.787709337,1935.46,0.2151531975,7692.464401499999,6640.5321355
max,-8355.65,8016.95,38.33,52.88,1084.04,0.11415955800000001,2931.57,7009.72,0.8187312409999999,2630.1,0.266645444,8500.867597,7506.197940000001
